omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
52799.878906,8403.361722543395,0.972473,0.9716432,0.332,0.3322,-0.24986368745472717,19.033657954245946,0.9185207068081993,0.31687571581111407,8403.361328,134493.65625,0.0,1000000.0,1.647,2791.0,1297.0,1.196,0.424,0.003,1.664,2800.0,1341.0,1.17,0.412,0.001,3.0
53417.089844,8501.59389425648,0.971436,0.972345,0.328,0.3284,-0.24359229381889042,18.815933992096237,0.9203824954469618,0.3136094085001647,8501.59375,136000.0,0.0,1000000.0,1.647,2791.0,1297.0,1.202,0.424,0.035,1.664,2791.0,1344.0,1.163,0.411,0.001,3.0
54048.90625,8602.150598397937,0.972015,0.9728638000000001,0.325,0.3244,-0.2389591257486297,18.586750874043908,0.9221213071884535,0.3100907418474434,8602.150391,137651.828125,0.0,1000000.0,1.648,2792.0,1295.0,1.204,0.424,0.014,1.667,2800.0,1343.0,1.17,0.412,0.002,3.0
54636.398438,8695.65288414601,0.974304,0.9732178,0.321,0.32,-0.23579912982061843,18.334649444186343,0.9238128052682733,0.30614177607638476,8695.652344,139116.203125,0.0,1000000.0,1.647,2793.0,1298.0,1.189,0.424,0.023,1.663,2816.0,1341.0,1.165,0.412,0.003,3.0
55277.292969,8797.654416755222,0.974091,0.9736694,0.316,0.31520000000000004,-0.2317695714251432,18.05962970252355,0.9257009895010643,0.3018439638838426,8797.654297,140728.484375,0.0,1000000.0,1.647,2784.0,1305.0,1.189,0.424,0.002,1.664,2800.0,1342.0,1.169,0.413,0.0,3.0
55933.402344,8902.077466995406,0.974243,0.9740052,0.31,0.31060000000000004,-0.22877449024539942,17.796069116763373,0.9273994050310165,0.29768519139378863,8902.077148,142378.5625,0.0,1000000.0,1.647,2791.0,1297.0,1.204,0.424,0.011,1.664,2816.0,1333.0,1.177,0.413,0.002,3.0
56548.667969,9000.00003252868,0.973694,0.9743714,0.304,0.3066,-0.2255094409495768,17.56688599871104,0.9289318457951633,0.29408374828533246,9000.0,143945.8125,0.0,1000000.0,1.647,2793.0,1297.0,1.203,0.424,0.008,1.664,2796.0,1340.0,1.167,0.413,0.002,3.0
57177.625,9100.101653004733,0.973694,0.9745910000000001,0.302,0.3026,-0.22355206981446205,17.33770288065871,0.9303103686604449,0.2904311196202418,9100.101563,145547.9375,0.0,1000000.0,1.647,2789.0,1297.0,1.199,0.424,0.006,1.664,2796.0,1339.0,1.164,0.413,0.001,3.0
57820.726563,9202.454445666306,0.976135,0.9750304000000001,0.301,0.2984,-0.21963686866660184,17.097060606703764,0.9319419525296675,0.28665044573373905,9202.454102,147186.140625,0.0,1000000.0,1.648,2792.0,1297.0,1.205,0.424,0.01,1.667,2816.0,1339.0,1.187,0.414,0.002,3.0
58418.046875,9297.5209259303,0.975189,0.9757444000000001,0.296,0.29500000000000004,-0.2132786509179303,16.902254956359286,0.9335943322777324,0.2836877806149838,9297.521484,148731.40625,0.0,1000000.0,1.648,2816.0,1298.0,1.203,0.424,0.004,1.667,2816.0,1345.0,1.17,0.414,0.001,3.0
