omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
43982.296875,6999.999956191471,0.011292,0.01131,-4.488,-4.4836,-38.93074790149089,-256.8913570248559,-0.0025650879535675736,0.011015281375909675,7000.0,111989.460938,0.0,1000000.0,1.647,2816.0,1302.0,1.195,0.424,0.644,1.639,2080.0,2018.0,0.048,0.006,0.049,3.0
44606.792969,7099.391596493153,0.010132,0.010840000000000002,-4.483,-4.5056,-39.299414355952635,-258.1518641741437,-0.0022256509585954092,0.010609056405284279,7099.39209,113560.453125,0.0,1000000.0,1.648,2789.0,1299.0,1.201,0.424,0.558,1.639,2064.0,2014.0,0.03,0.005,0.026,3.0
45249.277344,7201.64616063371,0.01062,0.010107600000000003,-4.557,-4.5392,-39.90703906521674,-260.0770023657833,-0.001741787055267335,0.009956392700878327,7201.645996,115254.234375,0.0,1000000.0,1.648,2792.0,1297.0,1.202,0.424,0.785,1.641,2055.0,2017.0,0.027,0.006,0.097,3.0
45862.667969,7299.270310648687,0.009735,0.009570400000000003,-4.555,-4.5642000000000005,-40.38139820546125,-261.5093968536104,-0.001413042806638912,0.00946550929356715,7299.27002,116758.242188,0.0,1000000.0,1.647,2792.0,1299.0,1.193,0.424,0.197,1.639,2056.0,2009.0,0.025,0.005,0.066,3.0
46492.914063,7399.577091873145,0.008759,0.009210200000000002,-4.613,-4.6062,-40.71461877944348,-263.9158195931598,-0.0009761847380618911,0.009158321210635444,7399.577148,118384.398438,0.0,1000000.0,1.648,2790.0,1298.0,1.202,0.424,0.56,1.639,2055.0,2019.0,0.026,0.005,0.102,3.0
47140.726563,7502.679653444863,0.008606,0.008685400000000001,-4.613,-4.635,-41.224203512576054,-265.56593804313655,-0.000671483523067011,0.008659404311974903,7502.680176,120056.492188,0.0,1000000.0,1.647,2816.0,1297.0,1.204,0.424,0.552,1.638,2064.0,2012.0,0.026,0.004,0.037,3.0
47754.9375,7600.434360169519,0.008331,0.0082398,-4.693,-4.6692,-41.68166659118028,-267.52545370248396,-0.0003557579379972354,0.008232116394315132,7600.434082,121602.289063,0.0,1000000.0,1.647,2800.0,1297.0,1.192,0.424,0.422,1.639,2050.0,2010.0,0.024,0.004,0.106,3.0
48385.367188,7700.7703612866,0.007996,0.008007799999999999,-4.701,-4.702400000000001,-41.929735643594356,-269.42767358231833,-7.99884269050997e-05,0.008007400495264442,7700.77002,123188.40625,0.0,1000000.0,1.647,2790.0,1298.0,1.202,0.424,0.427,1.638,2051.0,2013.0,0.023,0.004,0.043,3.0
49032.664063,7803.790858590786,0.007507,0.0078492,-4.726,-4.7468,-42.10349209640819,-271.9716061926992,0.0002700456734651253,0.007844553267984274,7803.791016,124816.445313,0.0,1000000.0,1.647,2816.0,1299.0,1.197,0.424,0.472,1.639,2048.0,2011.0,0.022,0.004,0.03,3.0
49620.414063,7897.3341763930475,0.007599,0.007605199999999999,-4.779,-4.7662,-42.37778720946024,-273.083144315253,0.0004090460922640188,0.007594191749910158,7897.334961,126394.054688,0.0,1000000.0,1.648,2800.0,1296.0,1.197,0.424,0.256,1.638,2048.0,2020.0,0.019,0.004,0.067,3.0
50265.484375,8000.000305189679,0.007813,0.007446399999999998,-4.835,-4.7948,-42.56107276786729,-274.72180360932714,0.0006129710264040429,0.007421127911631031,8000.0,128012.046875,0.0,1000000.0,1.648,2791.0,1294.0,1.205,0.424,0.304,1.639,2056.0,2017.0,0.03,0.005,0.127,3.0
50875.996094,8097.16626308406,0.007111,0.007324399999999997,-4.79,-4.856000000000001,-42.70455892080623,-278.2283053155278,0.0010482526477083834,0.007249000051494849,8097.166016,129573.171875,0.0,1000000.0,1.647,2794.0,1298.0,1.2,0.424,0.484,1.639,2052.0,2018.0,0.023,0.004,0.076,3.0
51501.523438,8196.722031920803,0.007202,0.007135199999999999,-4.844,-4.886600000000001,-42.93187698166912,-279.9815561686282,0.0012367524468844112,0.007027198760895084,8196.72168,131172.84375,0.0,1000000.0,1.647,2816.0,1294.0,1.205,0.424,0.991,1.639,2049.0,2009.0,0.024,0.004,0.098,3.0
52142.617188,8298.755271218623,0.006897,0.007019199999999998,-5.032,-4.9614,-43.0742476587826,-284.2672804762067,0.0017298509768617354,0.006802704185678697,8298.754883,132812.5,0.0,1000000.0,1.647,2789.0,1296.0,1.202,0.424,1.53,1.638,2052.0,2017.0,0.021,0.003,0.13,3.0
