omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,clip_flags,input_dc_v,input_pp_v,input_rms_v,output_dc_v,output_pp_v,output_rms_v,valid_capture_count
81681.414063,13000.000806862305,0.842468,0.8429992000000001,0.483,0.4848,-1.4834567503462057,27.77699390794231,0.7458588620972104,0.3928641101344008,0.0,1.647,1.19,0.424,1.641,1.027,0.357,3.0
82340.132813,13104.83915203212,0.846344,0.8452210000000001,0.485,0.4828,-1.4605944238090383,27.662402348916146,0.7486109429276578,0.3924031026507858,0.0,1.648,1.201,0.424,1.645,1.033,0.359,3.0
82925.289063,13197.969661700738,0.846649,0.8470642,0.478,0.4794,-1.4416734545637189,27.467596698571665,0.7515762033772666,0.39070573253876595,0.0,1.647,1.21,0.424,1.641,1.028,0.359,3.0
83604.3125,13306.039598174535,0.850098,0.8494324,0.48,0.4772,-1.41742355367741,27.341545983642884,0.754537571658894,0.3901390202541388,0.0,1.648,1.208,0.424,1.645,1.033,0.36,3.0
84207.640625,13402.062251574649,0.849762,0.8509766,0.471,0.47280000000000005,-1.4016476380402856,27.089444553785324,0.7576216700818638,0.38751848829433605,0.0,1.647,1.206,0.424,1.641,1.035,0.36,3.0
84819.742188,13499.481241000374,0.854309,0.8526918000000001,0.472,0.46980000000000005,-1.3841582686997724,26.917557215246077,0.7603101877633947,0.3860203675590599,0.0,1.648,1.21,0.424,1.645,1.03,0.362,3.0
85440.804688,13598.326407844384,0.854065,0.8540772,0.463,0.46540000000000004,-1.3700574335575777,26.665455785388517,0.7632393639094107,0.3832930170757069,0.0,1.648,1.207,0.424,1.641,1.033,0.362,3.0
86071.03125,13698.630080454495,0.855225,0.8557556,0.463,0.4626,-1.3530050038100954,26.505027602751884,0.7658115831707566,0.38190347735109614,0.0,1.648,1.203,0.424,1.641,1.037,0.362,3.0
86750.09375,13806.706233997837,0.857025,0.8571044,0.458,0.4596000000000001,-1.3393255082700453,26.33314026421264,0.7681626807655565,0.3802026412039161,0.0,1.648,1.203,0.424,1.641,1.04,0.363,3.0
87353.125,13902.68163827422,0.858154,0.858679,0.457,0.4572000000000001,-1.323383163025726,26.195630393381244,0.7704858299641569,0.379053044923061,0.0,1.647,1.2,0.424,1.641,1.036,0.364,3.0
87964.59375,13999.999912382942,0.861053,0.8600034,0.457,0.45380000000000004,-1.3099966356328407,26.00082474303676,0.7729605089077048,0.37701180310528976,0.0,1.648,1.206,0.424,1.645,1.052,0.365,3.0
88584.6875,14098.690897875833,0.861938,0.8620053999999999,0.451,0.452,-1.2898002709104643,25.89769233991321,0.7754388274838362,0.37649426882710074,0.0,1.647,1.203,0.424,1.641,1.041,0.365,3.0
89213.585938,14198.783192986306,0.861847,0.8636534,0.446,0.44880000000000003,-1.2732102584755696,25.71434584547135,0.7781244327883912,0.3747259831254092,0.0,1.647,1.206,0.424,1.641,1.055,0.365,3.0
89851.476563,14300.306639107033,0.867035,0.8647826,0.449,0.445,-1.2618611452024093,25.496621883321634,0.7805619980089971,0.3722524849171087,0.0,1.648,1.21,0.424,1.645,1.054,0.368,3.0
90498.554688,14403.29232126742,0.866394,0.8661866,0.441,0.4418,-1.2477707827324367,25.31327538887977,0.7830184002974055,0.3703530893826214,0.0,1.647,1.206,0.424,1.641,1.05,0.367,3.0
91060.664063,14492.754806856965,0.866699,0.8682618000000002,0.438,0.44020000000000004,-1.226986115079083,25.221602141658842,0.7854873265563006,0.36998407149318735,0.0,1.647,1.205,0.424,1.641,1.048,0.368,3.0
91725.335938,14598.540621297374,0.868958,0.8690674000000002,0.435,0.43660000000000004,-1.2189308159521892,25.015337335411743,0.7875442067743248,0.36749458243484334,0.0,1.647,1.202,0.424,1.641,1.053,0.368,3.0
92399.789063,14705.8831700249,0.872223,0.8703796000000001,0.438,0.4338000000000001,-1.2058259308419852,24.854909152775114,0.7897607606715532,0.36583956729644473,0.0,1.648,1.199,0.424,1.645,1.061,0.37,3.0
92946.53125,14792.899891682822,0.871063,0.8718628000000002,0.431,0.43100000000000005,-1.1910370419670115,24.694480970138486,0.7921295732844973,0.3642464566086546,0.0,1.647,1.198,0.424,1.641,1.062,0.369,3.0
93592.632813,14895.730149173673,0.872955,0.8736388,0.427,0.42919999999999997,-1.173361726950959,24.591348567014933,0.7943988482475952,0.36355910491739074,0.0,1.647,1.194,0.424,1.641,1.056,0.37,3.0
